Time,Temperature,Humidity
2020-10-04 22:27:18,21.56,57.46
2020-10-04 22:17:18,21.59,58.18
2020-10-04 22:07:18,21.58,58.07
2020-10-04 21:57:18,21.58,57.96
2020-10-04 21:47:18,21.57,57.85
2020-10-04 21:37:18,21.57,57.74
2020-10-04 21:27:18,21.56,57.63
2020-10-04 21:17:18,21.56,57.52
2020-10-04 21:07:18,21.55,57.41
2020-10-04 20:57:18,21.55,57.30
2020-10-04 20:47:18,21.55,57.20
2020-10-04 20:37:18,21.50,56.88
2020-10-04 20:27:18,21.53,56.98
2020-10-04 20:17:18,21.55,57.07
2020-10-04 20:07:18,21.57,57.16
2020-10-04 19:57:18,21.59,57.26
2020-10-04 19:47:18,21.61,57.35
2020-10-04 19:37:18,21.63,57.44
2020-10-04 19:27:18,21.65,57.54
2020-10-04 19:17:18,21.67,57.63
2020-10-04 19:07:18,21.69,57.72
2020-10-04 18:57:18,21.62,57.91
2020-10-04 18:47:18,21.63,58.01
2020-10-04 18:37:18,21.63,58.11
2020-10-04 18:27:18,21.63,58.20
2020-10-04 18:17:18,21.63,58.30
2020-10-04 18:07:18,21.64,58.40
2020-10-04 17:57:18,21.64,58.49
2020-10-04 17:47:18,21.64,58.59
2020-10-04 17:37:18,21.64,58.69
2020-10-04 17:27:18,21.64,58.78
2020-10-04 17:17:18,21.65,58.78
2020-10-04 17:07:18,21.64,58.89
2020-10-04 16:57:18,21.64,59.00
2020-10-04 16:47:18,21.64,59.11
2020-10-04 16:37:18,21.64,59.22
2020-10-04 16:27:18,21.63,59.32
2020-10-04 16:17:18,21.63,59.43
2020-10-04 16:07:18,21.63,59.54
2020-10-04 15:57:18,21.63,59.65
2020-10-04 15:47:18,21.63,59.75
2020-10-04 15:37:18,21.64,59.74
2020-10-04 15:27:18,21.65,59.83
2020-10-04 15:17:18,21.65,59.92
2020-10-04 15:07:18,21.65,60.01
2020-10-04 14:57:18,21.65,60.10
2020-10-04 14:47:18,21.66,60.19
2020-10-04 14:37:18,21.66,60.28
2020-10-04 14:27:18,21.66,60.37
2020-10-04 14:17:18,21.66,60.46
2020-10-04 14:07:18,21.66,60.54
2020-10-04 13:57:18,21.68,60.42
2020-10-04 13:47:18,21.67,60.48
2020-10-04 13:37:18,21.67,60.53
2020-10-04 13:27:18,21.67,60.58
2020-10-04 13:17:18,21.67,60.64
2020-10-04 13:07:18,21.66,60.69
2020-10-04 12:57:18,21.66,60.74
2020-10-04 12:47:18,21.66,60.80
2020-10-04 12:37:18,21.66,60.85
2020-10-04 12:27:18,21.66,60.90
2020-10-04 12:17:18,21.60,61.03
2020-10-04 12:07:18,21.62,61.01
2020-10-04 11:57:18,21.63,61.00
2020-10-04 11:47:18,21.65,60.99
