Time,Temperature(℃),Humidity(%RH)
2020-10-01 11:07:04,20.67,68.51
2020-10-01 10:57:04,20.63,68.79
2020-10-01 10:47:04,20.61,68.80
2020-10-01 10:37:04,20.56,68.88
2020-10-01 10:27:04,20.52,68.85
2020-10-01 10:17:04,20.49,68.94
2020-10-01 10:07:04,20.44,69.07
2020-10-01 09:57:04,20.42,69.17
2020-10-01 09:47:04,20.38,69.37
2020-10-01 09:37:04,20.34,69.34
2020-10-01 09:27:04,20.30,69.31
2020-10-01 09:17:04,20.27,69.28
2020-10-01 09:07:04,20.23,69.25
2020-10-01 08:57:04,20.20,69.22
2020-10-01 08:47:04,20.16,69.19
2020-10-01 08:37:04,20.13,69.16
2020-10-01 08:27:04,20.09,69.13
2020-10-01 08:17:04,20.06,69.10
2020-10-01 08:07:04,20.01,69.18
2020-10-01 07:57:04,19.98,69.16
2020-10-01 07:47:04,19.96,69.14
2020-10-01 07:37:04,19.94,69.12
2020-10-01 07:27:04,19.92,69.10
2020-10-01 07:17:04,19.90,69.08
2020-10-01 07:07:04,19.88,69.06
2020-10-01 06:57:04,19.86,69.04
2020-10-01 06:47:04,19.84,69.02
2020-10-01 06:37:04,19.82,69.00
2020-10-01 06:27:04,19.76,69.09
2020-10-01 06:17:04,19.74,69.05
2020-10-01 06:07:04,19.72,69.02
2020-10-01 05:57:04,19.70,68.99
2020-10-01 05:47:04,19.68,68.96
2020-10-01 05:37:04,19.66,68.92
2020-10-01 05:27:04,19.64,68.89
2020-10-01 05:17:04,19.62,68.86
2020-10-01 05:07:04,19.60,68.83
2020-10-01 04:57:04,19.59,68.80
2020-10-01 04:47:04,19.57,68.89
2020-10-01 04:37:04,19.54,68.85
2020-10-01 04:27:04,19.52,68.82
2020-10-01 04:17:04,19.50,68.79
2020-10-01 04:07:04,19.48,68.76
2020-10-01 03:57:04,19.46,68.73
2020-10-01 03:47:04,19.44,68.70
2020-10-01 03:37:04,19.42,68.67
